typecom,com,reg,dep,arr,tncc,ncc,nccenr,libelle,can,comparent,random
COM,23001,75,23,232,1,AHUN,Ahun,Ahun,2301,,3
COM,23002,75,23,232,1,AJAIN,Ajain,Ajain,2314,,2
COM,23003,75,23,231,1,ALLEYRAT,Alleyrat,Alleyrat,2302,,2
COM,23004,75,23,232,1,ANZEME,Anzême,Anzême,2314,,3
COM,23005,75,23,231,1,ARFEUILLE CHATAIN,Arfeuille-Châtain,Arfeuille-Châtain,2308,,1
COM,23006,75,23,232,1,ARRENES,Arrènes,Arrènes,2311,,3
COM,23007,75,23,232,1,ARS,Ars,Ars,2301,,1
COM,23008,75,23,231,1,AUBUSSON,Aubusson,Aubusson,2302,,1
COM,23009,75,23,231,1,AUGE,Auge,Auge,2308,,1
COM,23010,75,23,232,1,AUGERES,Augères,Augères,2311,,3
COM,23011,75,23,232,1,AULON,Aulon,Aulon,2311,,3
COM,23012,75,23,232,1,AURIAT,Auriat,Auriat,2305,,1
COM,23013,75,23,231,1,AUZANCES,Auzances,Auzances,2303,,3
COM,23014,75,23,232,1,AZAT CHATENET,Azat-Châtenet,Azat-Châtenet,2311,,3
COM,23015,75,23,232,1,AZERABLES,Azerables,Azerables,2307,,3
COM,23016,75,23,232,0,BANIZE,Banize,Banize,2301,,1
COM,23017,75,23,231,0,BASVILLE,Basville,Basville,2303,,2
COM,23018,75,23,232,0,BAZELAT,Bazelat,Bazelat,2307,,2
COM,23019,75,23,231,0,BEISSAT,Beissat,Beissat,2303,,2
COM,23020,75,23,231,0,BELLEGARDE EN MARCHE,Bellegarde-en-Marche,Bellegarde-en-Marche,2302,,2
COM,23021,75,23,232,0,BENEVENT L ABBAYE,Bénévent-l'Abbaye,Bénévent-l'Abbaye,2311,,2
COM,23022,75,23,231,0,BETETE,Bétête,Bétête,2306,,3
COM,23023,75,23,231,0,BLAUDEIX,Blaudeix,Blaudeix,2310,,2
COM,23024,75,23,231,0,BLESSAC,Blessac,Blessac,2302,,2
COM,23025,75,23,232,0,BONNAT,Bonnat,Bonnat,2304,,1
COM,23026,75,23,231,0,BORD SAINT GEORGES,Bord-Saint-Georges,Bord-Saint-Georges,2306,,2
COM,23027,75,23,232,0,BOSMOREAU LES MINES,Bosmoreau-les-Mines,Bosmoreau-les-Mines,2305,,3
COM,23028,75,23,231,0,BOSROGER,Bosroger,Bosroger,2302,,1
COM,23029,75,23,232,2,BOURG D HEM,Bourg-d'Hem,Le Bourg-d'Hem,2304,,2
COM,23030,75,23,232,0,BOURGANEUF,Bourganeuf,Bourganeuf,2305,,2
COM,23031,75,23,231,0,BOUSSAC,Boussac,Boussac,2306,,3
COM,23032,75,23,231,0,BOUSSAC BOURG,Boussac-Bourg,Boussac-Bourg,2306,,3
COM,23033,75,23,232,3,BRIONNE,Brionne,La Brionne,2314,,2
COM,23034,75,23,231,0,BROUSSE,Brousse,Brousse,2303,,3
COM,23035,75,23,231,0,BUDELIERE,Budelière,Budelière,2308,,1
COM,23036,75,23,232,0,BUSSIERE DUNOISE,Bussière-Dunoise,Bussière-Dunoise,2314,,2
COM,23037,75,23,231,0,BUSSIERE NOUVELLE,Bussière-Nouvelle,Bussière-Nouvelle,2303,,1
COM,23038,75,23,231,0,BUSSIERE SAINT GEORGES,Bussière-Saint-Georges,Bussière-Saint-Georges,2306,,2
COM,23039,75,23,232,3,CELLE DUNOISE,Celle-Dunoise,La Celle-Dunoise,2307,,3
COM,23040,75,23,231,3,CELLE SOUS GOUZON,Celle-sous-Gouzon,La Celle-sous-Gouzon,2310,,3
COM,23041,75,23,232,3,CELLETTE,Cellette,La Cellette,2304,,1
COM,23042,75,23,232,0,CEYROUX,Ceyroux,Ceyroux,2311,,3
