annee_scolaire,academie,numero_d_etablissement,nom_etablissement,type_d_etablissement,secteur_d_enseignement,nombre_d_eleves,libelle_region,libelle_departement,code_departement,adresse,code_postal,localite_acheminement,code_region_2016
2018-2019,LIMOGES,0230006G,COLLEGE MARC BLOCH,COLLEGE,Public,155,NOUVELLE-AQUITAINE,CREUSE,023,Chemin DE RONDE,23220,BONNAT,75
2018-2019,LIMOGES,0230010L,COLLEGE JEAN ZAY,COLLEGE,Public,206,NOUVELLE-AQUITAINE,CREUSE,023,Lieu-dit,23170,CHAMBON SUR VOUEIZE,75
2018-2019,LIMOGES,0230507B,COLLEGE JEAN PICART LE DOUX,COLLEGE,Public,330,NOUVELLE-AQUITAINE,CREUSE,023,1 place TOURNOIS,23400,BOURGANEUF,75
2019-2020,LIMOGES,0230002C,LYCEE GENERAL ET TECHNOLOGIQUE EUGENE JAMOT,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,Public,344,NOUVELLE-AQUITAINE,CREUSE,023,1 rue WILLIAMS DUMAZET,23200,AUBUSSON,75
2019-2020,LIMOGES,0230017U,COLLEGE JACQUES GRANCHER,COLLEGE,Public,196,NOUVELLE-AQUITAINE,CREUSE,023,2 rue du Château,23500,FELLETIN,75
2019-2020,LIMOGES,0230028F,COLLEGE LOUIS DURAND,COLLEGE,Public,249,NOUVELLE-AQUITAINE,CREUSE,023,6 rue des Ecoles,23320,ST VAURY,75
2019-2020,LIMOGES,0230506A,COLLEGE EUGENE JAMOT,COLLEGE,Public,310,NOUVELLE-AQUITAINE,CREUSE,023,1 rue WILLIAMS DUMAZET,23200,AUBUSSON,75
2017-2018,LIMOGES,0230002C,LYCEE GENERAL ET TECHNOLOGIQUE EUGENE JAMOT,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,Public,335,NOUVELLE-AQUITAINE,CREUSE,023,1 rue WILLIAMS DUMAZET,23200,AUBUSSON,75
2017-2018,LIMOGES,0230023A,COLLEGE OCTAVE GACHON,COLLEGE,Public,143,NOUVELLE-AQUITAINE,CREUSE,023,3 rue DES ECOLES,23140,PARSAC RIMONDEIX,75
2017-2018,LIMOGES,0230506A,COLLEGE EUGENE JAMOT,COLLEGE,Public,302,NOUVELLE-AQUITAINE,CREUSE,023,1 rue WILLIAM DUMAZET,23200,AUBUSSON,75
2016-2017,LIMOGES,0230004E,COLLEGE JEAN BEAUFRET,COLLEGE,Public,153,NOUVELLE-AQUITAINE,CREUSE,023,Route DE MONTLUCON,23700,AUZANCES,75
2016-2017,LIMOGES,0230019W,LP LYCEE DES METIERS DU BATIMENT,LYCEE PROFESSIONNEL,Public,218,NOUVELLE-AQUITAINE,CREUSE,023,Lieu-dit,23500,FELLETIN,75
2016-2017,LIMOGES,0230408U,COLLEGE BENJAMIN BORD,COLLEGE,Public,212,NOUVELLE-AQUITAINE,CREUSE,023,Avenue DU DOCTEUR B BORD,23800,DUN LE PALESTEL,75
2015-2016,LIMOGES,0230009K,COLLEGE HENRI JUDET,COLLEGE,Public,155,NOUVELLE-AQUITAINE,CREUSE,023,AVENUE JULES FERRY,23600,BOUSSAC,75
2015-2016,LIMOGES,0230025C,LGT LYCEE DES METIERS RAYMOND LOEWY,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,Public,573,NOUVELLE-AQUITAINE,CREUSE,023,PLACE FILDERSTADT,23300,LA SOUTERRAINE,75
2015-2016,LIMOGES,0230051F,LYCEE POLYVALENT JEAN FAVARD,LYCEE POLYVALENT,Public,725,NOUVELLE-AQUITAINE,CREUSE,023,27 ROUTE DE COURTILLE,23003,GUERET CEDEX,75
2015-2016,LIMOGES,0230487E,COLLEGE MARTIN NADAUD,COLLEGE,Public,593,NOUVELLE-AQUITAINE,CREUSE,023,1  AVENUE RENE CASSIN,23008,GUERET CEDEX,75
2019-2020,LIMOGES,0230001B,COLLEGE CLAUDE CHABROL,COLLEGE,Public,206,NOUVELLE-AQUITAINE,CREUSE,023,Lieu-dit 28 LES PRADEAUX,23150,AHUN,75
2019-2020,LIMOGES,0230003D,LYCEE PROFESSIONNEL JEAN JAURES,LYCEE PROFESSIONNEL,Public,135,NOUVELLE-AQUITAINE,CREUSE,023,38 rue Jean Jaurès,23200,AUBUSSON,75
2019-2020,LIMOGES,0230005F,COLLEGE JEAN MONNET,COLLEGE,Public,182,NOUVELLE-AQUITAINE,CREUSE,023,16 place de la République,23210,BENEVENT L ABBAYE,75
2019-2020,LIMOGES,0230010L,COLLEGE JEAN ZAY,COLLEGE,Public,199,NOUVELLE-AQUITAINE,CREUSE,023,Lieu-dit,23170,CHAMBON SUR VOUEIZE,75
2019-2020,LIMOGES,0230011M,COLLEGE FRANCOISE DOLTO,COLLEGE,Public,173,NOUVELLE-AQUITAINE,CREUSE,023,36 rue DE LA MARCHE,23270,CHATELUS MALVALEIX,75
2019-2020,LIMOGES,0230032K,COLLEGE RAYMOND LOEWY,COLLEGE,Public,455,NOUVELLE-AQUITAINE,CREUSE,023,1 place DE FILDERSTADT,23300,LA SOUTERRAINE,75
2019-2020,LIMOGES,0230051F,LYCEE POLYVALENT JEAN FAVARD,LYCEE POLYVALENT,Public,701,NOUVELLE-AQUITAINE,CREUSE,023,27 route DE COURTILLE,23000,GUERET,75
2018-2019,LIMOGES,0230004E,COLLEGE JEAN BEAUFRET,COLLEGE,Public,146,NOUVELLE-AQUITAINE,CREUSE,023,Route DE MONTLUCON,23700,AUZANCES,75
2018-2019,LIMOGES,0230008J,LP LYCEE DES METIERS DELPHINE GAY,LYCEE PROFESSIONNEL,Public,284,NOUVELLE-AQUITAINE,CREUSE,023,Avenue JOLIOT CURIE,23400,BOURGANEUF,75
2018-2019,LIMOGES,0230025C,LYCEE GENERAL ET TECHNOLOGIQUE RAYMOND LOEWY,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,Public,509,NOUVELLE-AQUITAINE,CREUSE,023,Place FILDERSTADT,23300,LA SOUTERRAINE,75
2015-2016,LIMOGES,0230001B,COLLEGE CLAUDE CHABROL,COLLEGE,Public,190,NOUVELLE-AQUITAINE,CREUSE,023,ROUTE DE MOLLES,23150,AHUN,75
