Code établissement,Appellation officielle,Dénomination principale,Patronyme uai,Secteur Public/Privé,Adresse,Lieu dit,Boite postale,Code postal,Localite d'acheminement,Commune,Coordonnee X,Coordonnee Y,EPSG,Latitude,Longitude,Qualité d'appariement,Localisation,Code nature,Nature,Code état établissement,Etat établissement,Code département,Code région,Code académie,Code commune,Département,Région,Académie,Position,secteur_prive_code_type_contrat,secteur_prive_libelle_type_contrat,code_ministere,libelle_ministere,date_ouverture
0230020X,Lycée général et technologique Pierre Bourdan,LYCEE GENERAL ET TECHNOLOGIQUE,PIERRE BOURDAN,Public,10 place MOLIERE,,,23000,GUERET,Guéret,612925.8,6564169.5,EPSG:2154,46.171753409000786,1.8713469135372802,Parfaite,Numéro de rue,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1,OUVERT,23,75,22,23096,Creuse,Nouvelle-Aquitaine,Limoges,"46.171753409,1.87134691354",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
0230032K,Collège Raymond Loewy,COLLEGE,RAYMOND LOEWY,Public,1 place DE FILDERSTADT,,,23300,LA SOUTERRAINE,La Souterraine,583273.2,6572271.6,EPSG:2154,46.24023188876845,1.4850584475632838,Correcte,Numéro de rue,340,COLLEGE,1,OUVERT,23,75,22,23176,Creuse,Nouvelle-Aquitaine,Limoges,"46.2402318888,1.48505844756",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1965-11-22
0230051F,Lycée polyvalent Jean Favard,LYCEE POLYVALENT,JEAN FAVARD,Public,27 route DE COURTILLE,,,23000,GUERET,Guéret,611714.7,6563729.5,EPSG:2154,46.16763472828431,1.8557334973159072,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1,OUVERT,23,75,22,23096,Creuse,Nouvelle-Aquitaine,Limoges,"46.1676347283,1.85573349732",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1968-03-12
0230074F,Ecole primaire,ECOLE PRIMAIRE PUBLIQUE,,Public,,LE BOURG,,23200,NEOUX,Néoux,642538.5,6535299.7,EPSG:2154,45.91495848273613,2.258670431591596,Correcte,Ville,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,23,75,22,23142,Creuse,Nouvelle-Aquitaine,Limoges,"45.9149584827,2.25867043159",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1967-09-01
0230078K,Ecole primaire,ECOLE PRIMAIRE PUBLIQUE,,Public,,LE BOURG,,23200,ST MAIXANT,Saint-Maixant,638717.8,6544119.3,EPSG:2154,45.994040605868435,2.208240646722234,Correcte,Ville,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,23,75,22,23210,Creuse,Nouvelle-Aquitaine,Limoges,"45.9940406059,2.20824064672",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1967-09-01
0230090Y,Ecole primaire,ECOLE PRIMAIRE PUBLIQUE,,Public,Route de Charensat,,,23700,DONTREIX,Dontreix,665977.6,6542926.1,EPSG:2154,45.98521002235404,2.5605099079464564,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,23,75,22,23073,Creuse,Nouvelle-Aquitaine,Limoges,"45.9852100224,2.56050990795",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1967-09-01
0230108T,Ecole primaire,ECOLE PRIMAIRE PUBLIQUE,,Public,12 GRANDE RUE,Grande Rue,,23600,ST MARIEN,Saint-Marien,640715.6,6591393.3,EPSG:2154,46.4198911977417,2.2280797290604517,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,23,75,22,23213,Creuse,Nouvelle-Aquitaine,Limoges,"46.4198911977,2.22807972906",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1967-09-01
0230111W,Ecole primaire,ECOLE PRIMAIRE,,Public,10 rue des Ecoles,,,23600,SOUMANS,Soumans,646854.7,6578217.0,EPSG:2154,46.30175976149538,2.309510568039612,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,23,75,22,23174,Creuse,Nouvelle-Aquitaine,Limoges,"46.3017597615,2.30951056804",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1967-09-01
0230126M,Ecole primaire,ECOLE PRIMAIRE PUBLIQUE,,Public,2 rue de la Brande,,,23170,VIERSAT,Viersat,656060.5,6574616.8,EPSG:2154,46.27000375998616,2.4294501452898385,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,23,75,22,23261,Creuse,Nouvelle-Aquitaine,Limoges,"46.27000376,2.42945014529",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1967-09-01
0230167G,Ecole primaire,ECOLE PRIMAIRE,,Public,,LE BOURG,,23210,MOURIOUX VIEILLEVILLE,Mourioux-Vieilleville,595301.6,6553933.4,EPSG:2154,46.07709428428333,1.6452199069069569,Correcte,Ville,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,23,75,22,23137,Creuse,Nouvelle-Aquitaine,Limoges,"46.0770942843,1.64521990691",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1967-09-01
0230188E,Ecole maternelle Camille Riffatterre,ECOLE MATERNELLE PUBLIQUE,CAMILLE RIFFATERRE,Public,5 place du Champ de Foire,,,23400,BOURGANEUF,Bourganeuf,603868.1,6540166.7,EPSG:2154,45.95441096031655,1.7588496925060582,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,23,75,22,23030,Creuse,Nouvelle-Aquitaine,Limoges,"45.9544109603,1.75884969251",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1967-09-01
0230194L,Ecole primaire,ECOLE PRIMAIRE PUBLIQUE,,Public,,LE BOURG,,23400,MONTBOUCHER,Montboucher,597820.3,6539986.2,EPSG:2154,45.951902899741334,1.6808201190189405,Correcte,Ville,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,23,75,22,23133,Creuse,Nouvelle-Aquitaine,Limoges,"45.9519028997,1.68082011902",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1967-09-01
0230200T,Ecole primaire,ECOLE PRIMAIRE PUBLIQUE,,Public,,LE BOURG,,23430,ST PIERRE CHERIGNAT,Saint-Pierre-Chérignat,592663.0,6542417.3,EPSG:2154,45.972996003120876,1.6136997285836956,Correcte,Ville,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,23,75,22,23230,Creuse,Nouvelle-Aquitaine,Limoges,"45.9729960031,1.61369972858",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1967-09-01
0230215J,Ecole maternelle,ECOLE MATERNELLE PUBLIQUE,,Public,3 rue de Beaumont,,,23500,FELLETIN,Felletin,636066.6,6531960.3,EPSG:2154,45.88431112740716,2.1756298681256485,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,23,75,22,23079,Creuse,Nouvelle-Aquitaine,Limoges,"45.8843111274,2.17562986813",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1968-10-01
0230221R,Ecole primaire,ECOLE PRIMAIRE PUBLIQUE,,Public,,12 rue de l'école,,23500,ST QUENTIN LA CHABANNE,Saint-Quentin-la-Chabanne,634400.1,6529809.8,EPSG:2154,45.864788443449044,2.154440224938812,Moyenne,Ville,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,23,75,22,23238,Creuse,Nouvelle-Aquitaine,Limoges,"45.8647884434,2.15444022494",99,SANS OBJET,06,MINISTERE DE L'EDUCATION NATIONALE,1968-10-01
